ID;Database;Table;field_group;memo_key;Field_Name;ACTION;Data_Sample;Mapping Use;Relevant_Model;CRM Class;Primary_Field;Primary_Ontological_Long_Path;Primary_Expected_Value_Type (from Primary_Field);Primary_Expected_Collection_Model;Primary_Expected_Resource_Model;Set_Value_Primary_Field;Primary_Field_Type;Secondary_Field;Secondary_Ontological_Long_Path;Secondary_Expected_Value_Type;Secondary_Expected_Collection_Model;Secondary_Expected_Resource_Model;Set_Value_Secondary_Field;Secondary_Field_Type;Tertiary_Field;Tertiary_Ontological_Long_Path;Tertiary_Expected_Value_Type;Tertiary_Expected_Collection_Model;Set_Value_Tertiary_Field;Tertiary_Field_Type;Quaternary_Field;Quaternary_Ontological_Long_Path;Quaternary_Expected_Collection_Model;Quaternary_Expected_Resource_Model;Quaternary_Expected_Value_Type;Tertiary_Expected_Resource_Model;Set_Value_Quaternary_Field;Quaternary_Field_Type
GLBMAP.XXX;XXX;locations;;?loc;location;TODO: replace by handle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;;?loc;_label;TODO: reuse as label for location UUID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.165_overall_remarks;XXX;locations;;?loc;comments;;"[CONTEXT] GM 7:183 ""Alendele, island on the south coast of Madura"".";Yes;GLBM.2_Place;E53 Place;LAF.15_statement_content;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;LAF.14_statement_type;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1];Concept;;;http://vocab.getty.edu/aat/300435415;additional;;;;;;;;;;;;;;
GLBMAP.152_coord_certainty;XXX;locations;coordinate;?_cs;coord_certainty;;uncertain;Yes;GLBM.2_Place;E53 Place;GLBF.5_place_coordinate_data_assignment;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[G5_1];Collection;SRDP.4_data_assignment;;;pass through;SRDF.509_data_assignment_type_metatype;->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[429_1]->crm:P2_has_type->crm:E55_Type[430_1]->crm:P2_has_type->crm:E55_Type[SRDF.509_1];Concept;;;http://example.com/Levels_of_Certainty;additional pass through;LAF.430_data_assignment_type;->crm:P141i_was_assigned_by->crm:E13_Attribute_Assignment[429_1]->crm:P2_has_type->crm:E55_Type[430_1];Concept;;coord_certainty;;;;;;;;;
GLBMAP.162_glob_id;XXX;locations;;?loc;glob_id;;GLOB_894;Yes;GLBM.2_Place;E53 Place;LAF.10_identifier_content;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;LAF.9_identifier_type;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1];Concept;;;glob_id;additional;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;;?loc;latitude;SKIP:  we will use point;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;;?loc;longitude;SKIP:  we will use point;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.164_longitude (adapted to point);XXX;locations;coordinate;?_cs;point;TODO: adapt to point ;78.16666667;Yes;GLBM.2_Place;E53 Place;GLBF.1_place_coordinate;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->geos:asWkt->rdf:literal;geos:wktLiteral;;;;content;GLBF.3_place_coordinate_type;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P2_has_type->crm:E55_Type[G3_1];Concept;;;https://vocab.getty.edu/aat/300387567;additional;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;coordinate;?_cs;_cs;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;coordinate;?_cs;_coordsource;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
